
Boahji	pole-star
áinnehisoppas	completely ungrazed reindeer pasture in winter
áinnut	only child
áinnádat	surface with new-fallen snow upon which fresh tracks are easily seen
áirolieđbmá	blade of oar
áiromuorra	block from which an oar is made
áirostielka	patch of wood or metal to mend broken oar
áirrosmuorra	block from which an oar is made (= airos)
áirrus	block from which an oar is made
áiru	Ruder
áiru	oar
áisá	Deichsel
áisáleŋgget	hame for male reindeer; old-fashioned hame for oxen
áitalas	coloured spot formed by a mock-sun or mock-moon
áiti	storehouse built on pillars
áitilit	subitive of aiˈtet
áitit	threaten
áitta	threat
áittašit	threaten a little continually
áitáladdat	threaten violently several times
áitálas	prone to threaten
ájasámil	moss which grows in a spring
ájihahttit	cause someone to be delayed in something
ájáhus	someone or something that delays or wastes one's time
ákkilveaksi	pectoral fin
áksi	the part of a reindeer's skull which comes away with the antlers when they are cut off; the part of the skull which is between and round the antlers (of a living reindeer)
ákta	(ei LpDict)
áktagaska	intermission between birth-pangs
áktán	brace
ákšodearri	the thin part of an axe (which can be sharpened to an edge)
ákšogilka	little axe
ákšogorka	blunt axe
ákšonađđa	handle of an axe
ákšoávju	edge of axe
ákšošalbmi	eye of axe
ákšošimir	poll of axe
ákšu	Axt
ákšu	axe
álbmot	fill with water (of boats which are not used)
álbmot	people
álbmotalmmái	a man of the people
álbmotskuvla	elementary school
álddagas	lightning
álddagasnjuolla	straight (not forked) lightning
álddar	age; lifetime
áldoeallu	herd of female reindeer (in the calving time in spring)
áldu	full-grown female reindeer which has a calf in that year
álggahit	begin; help someone over the first difficulties (of work)
álgilit	begin hurriedly
álgáladdat	begin something energetically several times
állan	ell
állanaddat	rock
állanastit	get into a rather slanting position
állanastit	measure with an ell measure
állanit	get in a crooked or slanting position
állat	Plectrophaneus nivalis (snow-bunting)
állehit	cause something to become crooked
állet	put crooked
álli	2nd pers. dual imperat. of the neg. verb.
állos	3rd pers. sg. imperat. of the neg. verb
állu	1st pers. dual imperat. of the neg. verb
állu	good condition (only of animals)
állui	fine-looking (of domestic animals)
állát	stand crooked
álmmehuvvat	lose its strength (of food)
áltárguossi	communicant
álus	the sap layer in a tree
álustallat	scrape off several times the tasty sap layer of a birch tree
álustit	scrape off the tasty sap layer of a birch tree
ámadadju	face
ámta	county
ánssášit	deserve
ánsu	desert
ánuheaddji	begging; beggar
ápmil	reindeer (esp. female) which never grows more than one horn
áppastit	boil over a little
áppes	ABC book
áppet	mash made of hay and flour (for horse)
áppodit	continually boil over
áppuhit	allow to boil over
ápril	April
árasmit	begin to do something earlier than before
árašit	consider (too) early
árbbolaš	heir
árbedit	keep on inheriting
árbefepper	craving to inherit
árbejeaddji	inheriting; heir
árbenguoibmi	co-heir
árbet	inherit
árbeváldi	heir
árbmugasat	mercifully
árga	weekday
árgašuvvat	get a fright
árggas	always afraid
árggašit	regard as a weekday
árggástallat	show fear
árggášit	think someone is afraid
árka	sheet (of paper)
árkkit	miserably
árkkálmastinvuohta	loving kindness
árkkálmastit	show mercy on
árpet	tear open (a wound; fig. the heart)
árpmihit	show mercy on
árpmitmeahttun	merciless
árpmot	careful
árpmoštit	express one's sympathy with someone once
árpmuheapme	merciless
árpmášit	feel sorry for
árrabeaivvis	early in the day
árraloddi	migrating bird that returns early
árranit	begin to come earlier
árrásuvvat	crack (of skin and the fleshy side of a hide)
ártnahávdi	place with a buried treasure
árvalanguoibmi	one who takes part in a conference
árvališgoahtit	begin to arˈvâlit
árvidahtti	comprehensible
árvosaš	of a certain value
árvu	Wert; Mass
árvvasmit	become more generous
árvvašit	consider too generous
árvvohuvvat	develop in such a way that causes unplesantness or difficulties; become worthless
árvvohuššat	be discontented and troublesome; be always grumbling; quarrel with someone
árvvuhuvvat	become worthless
árvádallat	guess several times
árástuvvat	become tender
ásadit	stay long in a place
ásaiduvvat	begin to feel at home
ásat	gunwale
ásen	ass
áski	wooden milk-pan
ásodit	be a long time hanging hay to dry on a stand or fence
ásppas	delicious (only of food)
ássalit	camp or settle hastily; live for a short time
ástadit	cause to dry or wither; cause to become gradually paralysed
ástageađgi	a kind of soft stone (talcum proprium ollare)
ástandávda	paralysis
ástejálgu	washtub on a stand (for washing up)
ásuiduvvat	stay for a considerable time in some place; intend to settle; begin to feel at home
átnolas	praying for forgiveness (of sin) with undue frequency; prone to beg
ávccá	wholly and completely; without any
ávdugas	blessed
ávdugasvuohta	blessedness
ávgos	August
ávji	meadow hay
ávjjeheapme	with little hay (of a field)
ávjjul	with a sharp edge
ávjjáiduvvat	grow a great deal of hay (of a field)
ávjodoalli	which remains sharp long
ávjolassii	with the edge uppermost
ávju	edge
ávjuluvvat	get a sharp edge (through wear)
ávjái	with a great deal of hay (of a field)
ávkkuhit	be useful
ávkkálaš	useful
ávnnastahttit	caus. of āwnâstit
ávskár	bailer (in a boat)
ávttahat	slaughtering-place in winter
ávuhit	be able to get (one's hands) round
ávvudit	be delighted
ávvujietna	cry of delight
ávži	valley with very steep sides
ávžái	full of valleys with very steep sides
áđadit	do something indefinite for a long time
áŋkorastit	anchor
áššehuvvat	not to be required to appear in court; be acquitted
áššodit	do one's &quot;duty&quot; (only of persons)
áššu	glowing (wood) embers on a hearth
áššut	burn till there are glowing embers
čabadat	somewhat increased frost after fairly mild weather
čagaldahkes	ticklish
čagalduhttit	tickle
čagardallat	freq. of čâǥârdit
čagardit	be ticklish
čaibmat	laugh loudly
čaimmas	loud laughter
čakča	autumn
čakčat	in the autumn; last autumn; this autumn
čaladit	continue for a long time to čâllât
čalbmešiella	reward for finding something
čalbmi	eye; (pl. also) face; mesh of seine or other net; single particle of something
čallat	rub the antlers against something to get the skin off; damage or destroy something by rubbing the antlers against it; rub one's head against the collar
čalli	very prone to čâllât
čalmmeheapme	blind; who has bad sight; snow-blind
čalmmehuhttit	deprive of the eyes or sight; make blind; weaken someoneʼs sight; make snow-blind
čalmmehuvvat	lose oneʼs eyes or an eye; become blind; get oneʼs sight weakened; become snow-blind
čalán	fang of an animal (e.g. of a dog)
čanastit	dimin. of čâdnât
čarkkus	Phalaropus hyperboreus (phalarope)
časkkis	piece cut off fish or meat
časkkát	(passing) so close as to almost touch
časttas	hard snowdrift
čatnalit	subit. of čâdnât
čavččat	thin autumn salmon; autumn lamb
čađđa	charcoal
čeabehastit	put a collar on; stretch the neck of a skin
čeabet	neck (whole of) or throat (outside); collar on clothig; neck-like projection from a mountain
čeabetnávdi	bear-skin collar
čeagŋi	short-legged animal; a low one (e.g. of a hayrick)
čeagŋut	in a squatting position
čeagŋut	squat and get up again several times
čeahborgi	the state when the reindeer's coat is more than half-grown
čeahkut	swallow greedily
čeahppudit	caus. of čæpˈpot
čeahppái	thick-necked (of domestic animals)
čeakŋuhit	crawl along in a squatting position
čealluladdat	make several very long and vigorous jumps
čeallulit	subit. of čællot
čealuhit	caus. of čællot
čearddalaš	national
čearga	snowdrift which is so hard that it bears; crust of drift-snow
čeargulit	subit. of čærˈgot
čearidit	cut bog-grass which sticks up above the ice
čearpmahat	skin of a čǣrbmâk
čearpmat	reindeer calf aged over half a year and a couple of months over a year
čearpmateadni	female reindeer which has lost the calf of the same year but is accompanied by the previous year's calf
čearrit	Sterna macrura (arctic tern)
čearsi	one who has prominent teeth; one who constantly smiles and shows his teeth
čearssas	who has prominent teeth; who constantly smiles and shows his teeth
čearssil	(constantly) having the teeth visible
čearssistit	sneer (and show one's teeth)
čearssuhit	walk and show one's teeth
čearsát	smile and show one's teeth
čeasahit	caus. of čǣssât; used also of driving or poling at full speed
čeaskkihit	suddenly appear (of something snow-white)
čeaskkut	an altogether white quadruped
čeaskánit	begin to walk or move (of something snow-white; ironically of one who or which is very dirty)
čeavrris	Lutra vulgaris (otter)
čeavžái	which has large hocks
čegŋedit	čegˈŋit now and then
čehporas	bear-skin collar; white &quot;collar&quot; of a dog
čelodit	contin. of čællot
čelččen	little finger; little toe
čeret	cut bog-grass which sticks above the ice (= čǣredit)
čerggiidit	go to sleep (of limbs)
čeŋkkeš	little finger; little toe (= čēlčim)
čidnot	become constipated (chiefly of animals)
čiegadit	contin. of čiekkât
čiegar	snow-field which has been trampled and dug up by reindeer (or sheep in autumn)
čiegardit	dig up snow-field (in a place) to find pasture
čiegarduvvat	get the snow-field dug up by grazing reindeer or sheep
čiegastit	cut in too much at one place
čiegastit	dimin. of čiekkât
čiehpas	the act of lying hidden in or under something (e.g. of ptarmigan in the snow) (= čiepˈpâgâs)
čiehppat	hide oneself in or under something (as a ptarmigan hides in the snow)
čiehča	seven in a pack of cards
čiekčalas	apt to kick
čiekčá	Pandion haliaëtus (osprey)
čiekŋalas	place where it is deep
čiekŋalit	deep(ly) (fig.); thoroughly
čiekŋut	become deeper
čielggosnaga	in a sober state
čielggus	sober
čielggádat	clear or bright weather
čielkkis	Uria grylle (black guillemot)
čierggis	name of a dog with a white collar round the neck or a white patch on the back of its neck and on its chest
čiergálas	which has a white collar round the neck or a white patch on the back of the neck and on the chest (of animals)
čierrá	one who constantly cries
čievlat	sink below the surface of the water (of heavy wood)
čieđihit	begin to dawn
čieŋal	deep
čieŋu	depth (only used in measurements)
čieža	seven
čiežas	seven persons
čigŋát	stand or sit in one's finery
čihkalas	blotch
čihkalastit	get blotches
čihččedas	seventh part
čihččedis	seventhly (= čičˈčidâssii)
čihččet	seventh
čihččii	seven times
čiksa	Anas crecca (teal)
čiktamas	thread for mending fishing net
čilla	artificial or natural cover for a person who is shooting natatorial birds
čilli	a small person or animal with a big stomach
čilssas	projecting (esp. of a tooth)
čilvet	depasture and trample down pasture land at the time when there is no snow; trample the ground (of many people in one place)
čilvut	turn into čilˈve (of ground) (= čilˈvâšuvvât)
čimat	either of the two top-boards of a kjerris
čirrat	break at the edge (of knife etc.)
čirrolas	apt to cry
čirrot	begin to cry
čirsi	one who has prominent teeth; one who constantly smiles and shows his teeth (= čᴂrˈse)
čirssas	who has prominent teeth; who constantly smiles and shows his teeth (= čᴂrsâs)
čirsát	smile and show one's teeth (= čᴂrˈsat)
čitna	charcoal
čitnut	become firm and hard (of snow)
čivhli	blotch
čivle	Warze
čivtta-	net-mending; bending skis etc.
čivttadit	contin. of čikˈtet
čiđašit	dimin.-contin. of čiđđet
čiđistit	start off without leave
čiŋkut	limp; be a little lame; hop on one foot
čižeš	the figure seven; (the) seven (in a pack of cards)
čoaggi	collector
čoaggi	lump
čoahkis	together
čoahkkat	dark (of color)
čoahkkái	(getting) together
čoahkkái	which keep together well (of reindeer); which keeps the shot together well (of a shot gun)
čoalas	diarrhea
čoalkalit	knock (on) once; (with com.) hammer or clatter with something once; throw or hurl something away or against something with a clatter
čoalkkuhit	several times knock (on); go clattering
čoallut	gut (fish)
čoaltu	lump
čoalus	the intestines with the fat on them
čoalči	person (woman) with slender legs; bird with long thin legs
čoalčái	who has slender legs (with tight-fitting brogue bands); which has long thin legs (of a bird) (= čoalčâs)
čoalččas	who has slender legs; which has long thin legs (of a bird)
čoamohas	shoulder; the shoulder piece
čoanohas	stop-reindeer (to check the rate of progress down hills)
čoarbbealli	thigh; rump-steak
čoarihit	suddenly come into view high up
čoarri	place on the top of an eminence which is wholly or nearly free from snow
čoarrut	stand and show oneself high up (against the sky)
čoarrát	stand and show oneself high up (against the sky) (= čoarrot)
čoarvi	antler or horn; implement made of horn; horn (musical instrument); (pl.) name of a constellation
čoarvvuš	part of skull together with antlers
čoarvá	name of a cow with horns
čoaskkadas	means of cooling
čoaskkis	cold
čoavdda	key
čoavžžu	Totanus (calidris?) (a species of snipe)
čoađgi	Glaucion clangula (golden-eye)
čogadit	contin. of čokkât
